社員ID,名字,名前,名字フリガナ,名前フリガナ,生年月日（西暦）,入社年月,エンジニア歴,扱える言語,経歴,研修の受講歴,技術力,受講態度,コミュニケーション能力,リーダーシップ,備考,更新日
1,佐藤,太郎,サトウ,タロウ,2000/7/1,2000/8/2,1,あ,く,1,1,1,1,1,a,2000/9/3
2,佐藤,花子,サトウ,ハナコ,2000/7/1,2000/8/2,1,い,き,2,2,2,2,2,a,2000/9/3
3,佐藤,太郎,サトウ,タロウ,2000/7/1,2000/8/2,1,う,か,3,3,3,3,3,a,2000/9/3
4,佐藤,花子,サトウ,ハナコ,2000/7/1,2000/8/2,1,え,お,4,4,4,4,4,a,2000/9/3
5,佐藤,太郎,サトウ,タロウ,2000/7/1,2000/8/2,1,お,え,5,5,5,5,5,a,2000/9/3
6,佐藤,花子,サトウ,ハナコ,2000/7/1,2000/8/2,1,か,う,1,1,1,1,1,a,2000/9/3
7,佐藤,太郎,サトウ,タロウ,2000/7/1,2000/8/2,1,き,い,2,2,2,2,2,a,2000/9/3
8,佐藤,花子,サトウ,ハナコ,2000/7/1,2000/8/2,1,く,あ,3,3,3,3,3,a,2000/9/3
9,佐藤,太郎,サトウ,タロウ,2000/7/1,2000/8/2,1,あ,く,4,4,4,4,4,a,2000/9/3
10,佐藤,花子,サトウ,ハナコ,2000/7/1,2000/8/2,1,い,き,5,5,5,5,5,a,2000/9/3
11,佐藤,太郎,サトウ,タロウ,2000/7/1,2000/8/2,1,う,か,1,1,1,1,1,a,2000/9/3
12,佐藤,花子,サトウ,ハナコ,2000/7/1,2000/8/2,1,え,お,2,2,2,2,2,a,2000/9/3
13,佐藤,太郎,サトウ,タロウ,2000/7/1,2000/8/2,1,お,え,3,3,3,3,3,a,2000/9/3
14,佐藤,花子,サトウ,ハナコ,2000/7/1,2000/8/2,1,か,う,4,4,4,4,4,a,2000/9/3
15,佐藤,太郎,サトウ,タロウ,2000/7/1,2000/8/2,1,き,い,5,5,5,5,5,a,2000/9/3
16,佐藤,花子,サトウ,ハナコ,2000/7/1,2000/8/2,1,く,あ,1,1,1,1,1,a,2000/9/3
17,佐藤,太郎,サトウ,タロウ,2000/7/1,2000/8/2,1,あ,く,2,2,2,2,2,a,2000/9/3
18,佐藤,花子,サトウ,ハナコ,2000/7/1,2000/8/2,1,い,き,3,3,3,3,3,a,2000/9/3
19,佐藤,太郎,サトウ,タロウ,2000/7/1,2000/8/2,1,う,か,4,4,4,4,4,a,2000/9/3
20,佐藤,花子,サトウ,ハナコ,2000/7/1,2000/8/2,1,え,お,5,5,5,5,5,a,2000/9/3
21,佐藤,太郎,サトウ,タロウ,2000/7/1,2000/8/2,1,お,え,1,1,1,1,1,a,2000/9/3
22,佐藤,花子,サトウ,ハナコ,2000/7/1,2000/8/2,1,か,う,2,2,2,2,2,a,2000/9/3
23,佐藤,太郎,サトウ,タロウ,2000/7/1,2000/8/2,1,き,い,3,3,3,3,3,a,2000/9/3
24,佐藤,花子,サトウ,ハナコ,2000/7/1,2000/8/2,1,く,あ,4,4,4,4,4,a,2000/9/3
25,佐藤,太郎,サトウ,タロウ,2000/7/1,2000/8/2,1,あ,く,5,5,5,5,5,a,2000/9/3
26,佐藤,花子,サトウ,ハナコ,2000/7/1,2000/8/2,1,い,き,1,1,1,1,1,a,2000/9/3
27,佐藤,太郎,サトウ,タロウ,2000/7/1,2000/8/2,1,う,か,2,2,2,2,2,a,2000/9/3
28,佐藤,花子,サトウ,ハナコ,2000/7/1,2000/8/2,1,え,お,3,3,3,3,3,a,2000/9/3
29,佐藤,太郎,サトウ,タロウ,2000/7/1,2000/8/2,1,お,え,4,4,4,4,4,a,2000/9/3
30,佐藤,花子,サトウ,ハナコ,2000/7/1,2000/8/2,1,か,う,5,5,5,5,5,a,2000/9/3
,,,,,,,,,,,,,,,,
